單字,字頻,拆字1,code1
的,335260.0,竹日心戈,hapi
年,309925.0,人手,oq
房,235639.0,竹尸卜竹尸,hsyhs
行,220547.0,竹人一一弓,hommn
款,219621.0,土火弓人,gfno
市,196504.0,卜中月,ylb
金,190748.0,金,c
不,183132.0,一火,mf
貸,179625.0,人心月山金,opbuc
價,164019.0,人一田金,omwc
業,157196.0,廿金廿木,tctd
有,153456.0,大月,kb
之,153353.0,戈弓人,ino
會,147500.0,人一田日,omwa
資,147278.0,戈人月山金,iobuc
政,142757.0,一一人大,mmok
以,142304.0,女戈人,vio
屋,140804.0,尸一戈土,smig
產,137840.0,卜竹竹手一,ykmqm
國,137093.0,田戈口一,wirm
為,132809.0,戈大弓火,iknf
住,131087.0,人卜土,oyg
地,130537.0,土心木,gpd
動,129431.0,竹土大尸,hgks
本,129392.0,木一,dm
月,122120.0,月,b
用,121941.0,月手,bq
新,121658.0,卜木竹一中,ydhml
中,118586.0,中,l
及,118453.0,弓竹水,nhe
一,118039.0,一,m
期,117726.0,廿金月,tcb
上,116184.0,卜一,ym
人,114404.0,人,o
第,112272.0,竹弓中竹,hnlh
率,112043.0,卜戈人十,yioj
建,111145.0,弓大中手,nklq
與,110248.0,竹難卜金,hxyc
高,109547.0,卜口月口,yrbr
宅,107929.0,十竹心,jhp
成,107805.0,戈竹尸,ihs
數,107104.0,中女人大,lvok
稅,104781.0,竹木金口山,hdcru
銀,103982.0,金日女,cav
大,103875.0,大,k
定,98527.0,十一卜人,jmyo
區,95672.0,尸口口口,srrr
分,92878.0,金尸竹,csh
於,90767.0,卜尸人卜,ysoy
在,90459.0,大中土,klg
是,89328.0,日一卜人,amyo
季,88724.0,竹木弓木,hdnd
對,86378.0,廿土木戈,tgdi
信,86083.0,人卜一口,oymr
融,85366.0,一月中一戈,mblmi
台,84626.0,戈口,ir
公,82221.0,金戈,ci
額,80540.0,十口一月金,jrmbc
部,80091.0,卜口弓中,yrnl
合,79573.0,人一口,omr
增,78099.0,土金田日,gcwa
法,77268.0,水土戈,egi
經,76430.0,女火一女一,vfmvm
關,75563.0,日弓女戈廿,anvit
計,74936.0,卜口十,yrj
管,73671.0,竹十口口,hjrr
機,73499.0,木女戈戈,dvii
理,73476.0,一土田土,mgwg
表,73333.0,手一女,qmv
放,73193.0,卜尸人大,ysok
可,73164.0,一弓口,mnr
其,73086.0,廿一一金,tmmc
全,72641.0,人一土,omg
者,72591.0,十大日,jka
制,71915.0,竹月中弓,hbln
利,71648.0,竹木中弓,hdln
