index,字頻統計,字頻百分比
的,335122,1.44
年,308307,1.32
房,230377,0.99
行,218542,0.94
款,212911,0.91
市,193944,0.83
金,186824,0.8
不,182891,0.78
貸,171799,0.74
價,159008,0.68
業,154723,0.66
有,152827,0.66
之,150546,0.65
會,146083,0.63
資,143454,0.61
以,141039,0.6
政,139443,0.6
國,136313,0.58
屋,134281,0.58
產,133896,0.57
為,131275,0.56
地,129335,0.55
動,127561,0.55
本,126358,0.54
住,126214,0.54
用,119486,0.51
新,118789,0.51
一,117702,0.5
中,117558,0.5
月,117273,0.5
上,115119,0.49
期,113881,0.49
人,113836,0.49
及,112808,0.48
高,107110,0.46
建,106515,0.46
第,106510,0.46
成,106358,0.46
率,105950,0.45
與,104434,0.45
大,103140,0.44
數,102466,0.44
宅,99991,0.43
稅,97844,0.42
銀,97780,0.42
定,95552,0.41
區,90630,0.39
分,90335,0.39
在,89549,0.38
是,88835,0.38
於,88190,0.38
台,84626,0.36
對,83618,0.36
信,81910,0.35
季,81534,0.35
公,79940,0.34
融,78122,0.33
部,76578,0.33
合,75954,0.33
法,74590,0.32
經,74403,0.32
額,73470,0.31
增,72076,0.31
可,71837,0.31
關,71668,0.31
來,70747,0.3
理,70471,0.3
計,70467,0.3
機,69998,0.3
全,69681,0.3
表,69668,0.3
其,69538,0.3
者,68938,0.3
管,68932,0.3
放,68623,0.29
出,68578,0.29
要,68123,0.29
利,67793,0.29
制,66743,0.29
因,65982,0.28
日,64430,0.28
元,63421,0.27
購,63342,0.27
下,63144,0.27
加,62810,0.27
所,62550,0.27
得,61310,0.26
發,61216,0.26
自,60494,0.26
內,59322,0.25
實,59275,0.25
長,58302,0.25
施,58132,0.25
度,58102,0.25
案,58061,0.25
能,58041,0.25
多,55852,0.24
方,55422,0.24
主,55343,0.24
民,53920,0.23
相,53894,0.23
戶,53765,0.23
比,53203,0.23
時,52951,0.23
都,52466,0.22
應,52043,0.22
限,51566,0.22
規,51278,0.22
策,51122,0.22
較,51111,0.22
前,51016,0.22
商,50988,0.22
家,50863,0.22
同,50306,0.22
更,50274,0.22
交,50170,0.22
場,50142,0.21
過,49630,0.21
工,49565,0.21
北,49558,0.21
性,48844,0.21
體,48829,0.21
並,48762,0.21
指,48436,0.21
租,48292,0.21
外,48251,0.21
等,47994,0.21
提,47458,0.2
將,47069,0.2
投,47054,0.2
府,46895,0.2
持,46810,0.2
農,46405,0.2
後,46281,0.2
或,45764,0.2
售,45694,0.2
現,45665,0.2
至,45479,0.19
化,45440,0.19
預,45435,0.19
重,45379,0.19
萬,44923,0.19
保,44777,0.19
個,44217,0.19
險,44214,0.19
造,44195,0.19
濟,44030,0.19
調,43967,0.19
總,43914,0.19
財,43375,0.19
易,43055,0.18
報,42728,0.18
升,42547,0.18
低,42234,0.18
進,42210,0.18
位,42130,0.18
製,41476,0.18
量,41270,0.18
間,41077,0.18
最,40394,0.17
格,40383,0.17
如,39674,0.17
續,39041,0.17
買,38860,0.17
未,38837,0.17
和,38836,0.17
力,38602,0.17
約,38551,0.17
作,38448,0.16
而,38279,0.16
務,37948,0.16
縣,37365,0.16
情,37258,0.16
擔,37121,0.16
幣,37115,0.16
措,36972,0.16
減,36848,0.16
需,36794,0.16
條,36712,0.16
負,36677,0.16
面,36180,0.16
由,35690,0.15
均,35624,0.15
目,34850,0.15
圖,34682,0.15
三,34435,0.15
標,34414,0.15
料,34388,0.15
他,34260,0.15
平,34061,0.15
構,33996,0.15
影,33881,0.15
營,33640,0.14
降,33631,0.14
供,33194,0.14
到,33185,0.14
件,33152,0.14
也,32967,0.14
整,32796,0.14
收,32631,0.14
明,32516,0.14
單,32449,0.14
次,32422,0.14
轉,32343,0.14
權,32231,0.14
風,32221,0.14
響,32199,0.14
基,32190,0.14
開,32167,0.14
推,32082,0.14
二,31981,0.14
無,31867,0.14
變,31772,0.14
臺,31737,0.14
入,31657,0.14
品,31553,0.14
題,31384,0.13
這,31204,0.13
已,31020,0.13
辦,30762,0.13
了,30622,0.13
各,30416,0.13
設,30331,0.13
通,30260,0.13
求,30199,0.13
漲,30166,0.13
土,29811,0.13
當,29808,0.13
值,29654,0.13
央,29604,0.13
近,29368,0.13
受,29359,0.13
正,29333,0.13
別,29294,0.13
生,29119,0.12
社,29029,0.12
示,28941,0.12
此,28707,0.12
物,28627,0.12
就,28248,0.12
問,28130,0.12
但,28129,0.12
議,27820,0.12
心,27591,0.12
灣,27117,0.12
南,27029,0.12
效,26973,0.12
美,26721,0.11
則,26670,0.11
項,26663,0.11
且,26647,0.11
使,26463,0.11
事,26399,0.11
例,26282,0.11
依,26150,0.11
去,25742,0.11
準,25357,0.11
點,24982,0.11
展,24460,0.1
置,24443,0.1
非,24115,0.1
統,23931,0.1
仍,23728,0.1
司,23581,0.1
修,23486,0.1
起,23371,0.1
費,22910,0.1
說,22907,0.1
積,22578,0.1
際,22524,0.1
聯,22490,0.1
幅,22436,0.1
徵,22433,0.1
助,22291,0.1
處,22282,0.1
眾,22264,0.1
穩,22228,0.1
採,21809,0.09
導,21794,0.09
範,21731,0.09
意,21684,0.09
申,21660,0.09
安,21453,0.09
取,21451,0.09
支,21422,0.09
具,21376,0.09
強,21373,0.09
配,21339,0.09
企,21289,0.09
築,21160,0.09
義,21114,0.09
顯,21103,0.09
還,21085,0.09
餘,20916,0.09
勢,20869,0.09
致,20706,0.09
解,20476,0.09
回,20469,0.09
億,20445,0.09
改,20402,0.09
結,20353,0.09
據,20332,0.09
員,20267,0.09
果,20259,0.09
適,20104,0.09
向,20091,0.09
居,19952,0.09
除,19874,0.09
請,19789,0.08
程,19775,0.08
然,19766,0.08
我,19600,0.08
源,19564,0.08
文,19550,0.08
立,19438,0.08
型,19207,0.08
式,19113,0.08
東,18978,0.08
算,18966,0.08
息,18939,0.08
少,18938,0.08
底,18937,0.08
賣,18748,0.08
研,18712,0.08
小,18641,0.08
原,18582,0.08
查,18442,0.08
逾,18374,0.08
每,18267,0.08
達,18044,0.08
特,17918,0.08
證,17914,0.08
估,17889,0.08
運,17863,0.08
惟,17753,0.08
代,17739,0.08
該,17715,0.08
包,17641,0.08
擴,17638,0.08
百,17629,0.08
貨,17574,0.08
共,17542,0.08
口,17128,0.07
電,17084,0.07
氣,17075,0.07
選,17074,0.07
債,16992,0.07
認,16913,0.07
審,16861,0.07
球,16838,0.07
四,16825,0.07
補,16772,0.07
專,16752,0.07
子,16744,0.07
股,16676,0.07
透,16566,0.07
告,16554,0.07
學,16553,0.07
五,16442,0.07
鄉,16380,0.07
流,16368,0.07
承,16176,0.07
係,16160,0.07
興,16085,0.07
析,16080,0.07
們,15919,0.07
記,15867,0.07
從,15861,0.07
六,15837,0.07
消,15635,0.07
僅,15615,0.07
團,15524,0.07
今,15504,0.07
境,15480,0.07
集,15407,0.07
港,15401,0.07
觀,15318,0.07
存,15317,0.07
評,15301,0.07
借,15245,0.07
考,15190,0.07
反,15182,0.07
況,15179,0.07
再,15083,0.06
完,15082,0.06
十,15066,0.06
林,15032,0.06
看,15021,0.06
危,14991,0.06
