,word,次數
0,的,32739.0
1,不,57101.0
2,一,79625.0
3,我,99039.0
4,是,116737.0
5,人,134375.0
6,有,148721.0
7,了,161442.0
8,大,173858.0
9,國,184518.0
10,來,195138.0
11,生,205394.0
12,在,215382.0
13,子,225090.0
14,們,234544.0
15,中,243295.0
16,上,251963.0
17,他,260517.0
18,時,268828.0
19,小,276889.0
20,地,284469.0
21,出,291906.0
22,以,299329.0
23,學,306635.0
24,可,313837.0
25,自,321036.0
26,這,328211.0
27,會,335255.0
28,成,342251.0
29,家,349230.0
30,到,356087.0
31,為,362925.0
32,天,369724.0
33,心,376486.0
34,年,382836.0
35,然,389100.0
36,要,395325.0
37,得,401518.0
38,說,407669.0
39,過,413697.0
40,個,419592.0
41,著,425461.0
42,能,431204.0
43,下,436887.0
44,動,442454.0
45,發,447943.0
46,臺,453391.0
47,麼,458687.0
48,車,463955.0
49,那,469189.0
50,行,474417.0
51,經,479638.0
52,去,484835.0
53,好,490008.0
54,開,495177.0
55,現,500306.0
56,就,505388.0
57,作,510414.0
58,後,515356.0
59,多,520263.0
60,方,525159.0
61,如,530048.0
62,事,534909.0
63,公,539705.0
64,看,544462.0
65,也,549209.0
66,長,553903.0
67,面,558525.0
68,力,563143.0
69,起,567703.0
70,裡,572226.0
71,高,576589.0
72,用,580883.0
73,業,585149.0
74,你,589373.0
75,因,593506.0
76,而,597631.0
77,分,601707.0
78,市,605737.0
79,於,609767.0
80,道,613774.0
81,外,617756.0
82,沒,621727.0
83,無,625695.0
84,同,629662.0
85,法,633624.0
86,前,637567.0
87,水,641418.0
88,電,645248.0
89,民,649073.0
90,對,652848.0
91,兒,656593.0
92,日,660336.0
93,之,664039.0
94,文,667740.0
95,當,671398.0
96,教,675038.0
97,新,678676.0
98,意,682294.0
99,情,685904.0
100,所,689504.0
101,實,693092.0
102,工,696678.0
103,全,700252.0
104,定,703825.0
105,美,707384.0
106,理,710897.0
107,頭,714396.0
108,本,717889.0
109,明,721381.0
110,氣,724873.0
111,進,728296.0
112,樣,731712.0
113,都,735126.0
114,主,738533.0
115,間,741926.0
116,老,745288.0
117,想,748647.0
118,重,751989.0
119,體,755322.0
120,山,758567.0
121,物,761805.0
122,知,765022.0
123,手,768233.0
124,相,771432.0
125,回,774593.0
126,性,777728.0
127,果,780830.0
128,政,783920.0
129,只,786974.0
130,此,790016.0
131,代,793033.0
132,和,796021.0
133,活,799007.0
134,媽,801993.0
135,親,804977.0
136,化,807952.0
137,加,810927.0
138,影,813852.0
139,什,816755.0
140,身,819657.0
141,己,822517.0
142,灣,825376.0
143,機,828227.0
144,部,831066.0
145,常,833884.0
146,見,836697.0
147,其,839484.0
148,正,842270.0
149,世,845055.0
150,北,847830.0
151,女,850593.0
152,花,853356.0
153,合,856110.0
154,場,858864.0
155,海,861607.0
156,者,864329.0
157,表,866997.0
158,問,869656.0
159,立,872282.0
160,西,874902.0
161,還,877485.0
162,最,880045.0
163,感,882554.0
164,告,885060.0
165,度,887554.0
166,光,890044.0
167,點,892533.0
168,色,894998.0
169,種,897455.0
170,少,899910.0
171,風,902353.0
172,資,904764.0
173,她,907172.0
174,期,909546.0
175,利,911918.0
176,保,914285.0
177,友,916651.0
178,樂,919011.0
179,關,921363.0
180,品,923702.0
181,書,926038.0
182,金,928356.0
183,師,930668.0
184,產,932974.0
185,但,935257.0
186,觀,937507.0
187,平,939755.0
188,太,941995.0
189,名,944214.0
190,空,946430.0
191,變,948640.0
192,安,950844.0
193,聲,953043.0
194,路,955238.0
195,從,957431.0
196,爸,959615.0
197,口,961783.0
198,很,963938.0
199,真,966077.0
200,許,968211.0
201,些,970338.0
202,又,972457.0
203,母,974576.0
204,門,976695.0
205,孩,978805.0
206,展,980914.0
207,像,983018.0
208,目,985118.0
209,信,987217.0
210,今,989309.0
211,應,991398.0
212,特,993486.0
213,十,995572.0
214,東,997645.0
215,入,999709.0
216,話,1001770.0
217,原,1003825.0
218,內,1005878.0
219,把,1007931.0
220,病,1009973.0
221,白,1012010.0
222,星,1014044.0
223,員,1016068.0
224,提,1018091.0
225,總,1020111.0
226,愛,1022130.0
227,畫,1024148.0
228,走,1026145.0
229,片,1028132.0
230,眼,1030104.0
231,比,1032069.0
232,統,1034030.0
233,由,1035989.0
234,界,1037946.0
235,受,1039902.0
236,使,1041846.0
237,朋,1043785.0
238,通,1045718.0
239,球,1047646.0
240,別,1049567.0
241,已,1051476.0
242,覺,1053373.0
243,廣,1055265.0
244,計,1057156.0
245,結,1059043.0
246,接,1060927.0
247,選,1062807.0
248,打,1064679.0
249,先,1066534.0
250,才,1068387.0
251,認,1070235.0
252,候,1072078.0
253,望,1073908.0
254,神,1075724.0
255,何,1077538.0
256,處,1079350.0
257,放,1081156.0
258,做,1082956.0
259,題,1084756.0
260,向,1086549.0
261,位,1088337.0
262,收,1090122.0
263,運,1091905.0
264,三,1093676.0
265,建,1095447.0
266,數,1097218.0
267,解,1098980.0
268,流,1100731.0
269,形,1102480.0
270,量,1104203.0
271,再,1105908.0
272,兩,1107607.0
273,清,1109306.0
274,馬,1111004.0
275,童,1112696.0
276,式,1114379.0
277,直,1116049.0
278,傳,1117719.0
279,難,1119380.0
280,管,1121034.0
281,院,1122687.0
282,快,1124337.0
283,造,1125985.0
284,記,1127623.0
285,必,1129256.0
286,視,1130880.0
287,設,1132483.0
288,次,1134080.0
289,引,1135668.0
290,音,1137252.0
291,報,1138829.0
292,滿,1140405.0
293,術,1141973.0
294,命,1143526.0
295,社,1145076.0
296,月,1146625.0
297,演,1148173.0
298,交,1149720.0
299,司,1151264.0
300,住,1152808.0
301,育,1154352.0
302,聽,1155889.0
303,商,1157420.0
304,反,1158943.0
305,幾,1160466.0
306,邊,1161974.0
307,父,1163470.0
308,至,1164965.0
309,舉,1166459.0
310,醫,1167953.0
311,系,1169445.0
312,治,1170928.0
313,給,1172411.0
314,任,1173884.0
315,轉,1175353.0
316,導,1176821.0
317,辦,1178288.0
318,喜,1179751.0
319,園,1181211.0
320,土,1182669.0
321,遠,1184121.0
322,價,1185573.0
323,科,1187016.0
324,怎,1188457.0
325,四,1189896.0
326,非,1191332.0
327,區,1192767.0
328,歡,1194201.0
329,完,1195631.0
330,往,1197058.0
331,二,1198483.0
332,南,1199898.0
333,容,1201313.0
334,服,1202726.0
335,近,1204135.0
336,調,1205542.0
337,字,1206941.0
338,指,1208339.0
339,象,1209729.0
340,校,1211115.0
341,林,1212500.0
342,未,1213883.0
343,程,1215265.0
344,改,1216646.0
345,求,1218027.0
346,始,1219407.0
347,帶,1220787.0
348,失,1222163.0
349,制,1223533.0
350,精,1224903.0
351,務,1226271.0
352,更,1227637.0
353,每,1228989.0
354,紅,1230340.0
355,陸,1231691.0
356,笑,1233034.0
357,輕,1234367.0
358,吃,1235696.0
359,節,1237020.0
360,強,1238343.0
361,單,1239661.0
362,石,1240973.0
363,古,1242279.0
364,深,1243583.0
365,房,1244883.0
366,整,1246182.0
367,專,1247471.0
368,論,1248759.0
369,等,1250046.0
370,投,1251332.0
371,考,1252616.0
372,斯,1253897.0
373,陽,1255174.0
374,功,1256446.0
375,遊,1257718.0
376,推,1258989.0
377,語,1260260.0
378,念,1261529.0
379,英,1262792.0
380,研,1264050.0
381,樹,1265308.0
382,張,1266563.0
383,創,1267814.0
384,環,1269065.0
385,型,1270315.0
386,便,1271559.0
387,興,1272802.0
388,速,1274044.0
389,義,1275282.0
390,落,1276518.0
391,達,1277753.0
392,戰,1278987.0
393,質,1280218.0
394,示,1281448.0
395,思,1282678.0
396,濟,1283900.0
397,營,1285118.0
398,讀,1286332.0
399,縣,1287544.0
400,費,1288755.0
401,客,1289957.0
402,賽,1291157.0
403,持,1292354.0
404,華,1293546.0
405,火,1294737.0
406,青,1295923.0
407,線,1297106.0
408,格,1298280.0
409,河,1299447.0
410,熱,1300614.0
411,識,1301781.0
412,共,1302947.0
413,故,1304111.0
414,離,1305275.0
415,決,1306438.0
416,王,1307599.0
417,呢,1308750.0
418,腦,1309900.0
419,連,1311048.0
420,團,1312196.0
421,步,1313341.0
422,卻,1314486.0
423,取,1315630.0
424,布,1316765.0
425,消,1317894.0
426,男,1319018.0
427,黃,1320141.0
428,言,1321261.0
429,類,1322380.0
430,死,1323497.0
431,包,1324612.0
432,亞,1325716.0
433,際,1326817.0
434,士,1327917.0
435,眾,1329017.0
436,黨,1330114.0
437,照,1331210.0
438,且,1332305.0
439,早,1333397.0
440,飛,1334488.0
441,及,1335577.0
442,參,1336665.0
443,究,1337751.0
444,寫,1338835.0
445,易,1339918.0
446,備,1340998.0
447,基,1342076.0
448,景,1343152.0
449,算,1344227.0
450,半,1345296.0
451,各,1346364.0
452,角,1347432.0
453,件,1348498.0
454,府,1349564.0
455,雖,1350625.0
456,夫,1351681.0
